Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.16	Platelet activation, signaling and aggregation	43	205	1.75041230062141e-10	1.33578338691171e-08	0	0	3.4795631935095	78.1718652070822	DGKG;CD63;STXBP3;PROS1;PLEK;PDGFB;ITPR2;CLU;PIK3CG;PIK3R5;GNAI2;RAP1B;GNA13;GNA15;GNGT2;RAP1A;GNG5;LAMP2;PLCG2;RAC2;FLNA;CD36;TIMP1;A2M;LYN;P2RY12;SRGN;FCER1G;TGFB1;SYK;HGF;SERPINF2;FN1;PLA2G4A;GNG12;RHOA;VAV1;APBB1IP;GNB4;SERPING1;CD9;SCG3;LCP2	BioPlanet_2019	up
BioPlanet_2019.17	RAGE pathway	21	60	4.93940346323851e-10	3.54765389918484e-08	0	0	6.99622132253711	149.919272745309	ITGB1;TGFB1;VCAM1;PDGFB;FN1;CYBA;TNFRSF11B;TNF;F3;ICAM1;BMP4;DDAH2;CASP3;IL1B;CCL2;ID3;TIMP1;ITGA5;ABCG1;PTGES;TLR2	BioPlanet_2019	up
BioPlanet_2019.18	Interleukin-5 regulation of apoptosis	34	144	5.37449880583632e-10	3.64570168995897e-08	0	0	4.03744527427247	86.1759813069286	SDC4;EBI3;HEXA;ITGB2;PLAT;CXCL1;HIF1A;ICAM1;RELB;RAB21;IL1RL1;CASP4;CCL3;IL21R;IL12B;CCL2;DUSP5;TPM4;GADD45A;ANXA3;RHOH;FOSL2;NFKB2;MMP12;TLR1;IL1A;IL1B;IL3RA;BCL2;LCP2;SGK1;MYD88;CD44;NFE2L2	BioPlanet_2019	up
BioPlanet_2019.19	Cross-presentation of particulate exogenous antigens (phagosomes)	8	8	7.33159888545926e-10	4.71151696797145e-08	0	0	148432	3122067.82166628	ITGB5;NCF1;NCF2;NCF4;CYBB;CYBA;ITGAV;CD36	BioPlanet_2019	up
BioPlanet_2019.20	Toll-like receptor signaling pathway regulation	33	142	1.48623812905672e-09	9.07348377789128e-08	0	0	3.95206373322425	80.333669279462	CD86;LY96;TNF;PIK3CG;PIK3R5;CASP8;CCL5;NEU1;CCL4;CCL3;SPP1;IL12B;CD14;CTNNAL1;IFNAR2;TICAM2;SYK;CD180;IRAK4;NFKB2;MAPK13;NFKBIA;TLR1;CXCL10;IL1B;BTK;IRF7;IRF5;TLR7;PTPN6;MYD88;TLR3;TLR2	BioPlanet_2019	up
BioPlanet_2019.21	Chemokine signaling pathway	39	189	2.00849044962722e-09	1.16779373285468e-07	0	0	3.40088130774698	68.1056491835164	CX3CR1;NCF1;ROCK1;PXN;WAS;CXCL1;CXCR6;CXCL13;ADCY7;PIK3CG;CXCL16;PIK3R5;GNAI2;RAP1B;NRAS;RAP1A;GNGT2;CCL7;GNG5;CCL5;CCL4;RAC2;CCL3;CCL2;CCR6;CCR5;LYN;STAT2;STAT3;GNG12;RHOA;VAV1;NFKBIA;FGR;CXCL10;HCK;GNB4;DOCK2;PLCB2	BioPlanet_2019	up
BioPlanet_2019.22	Leukocyte transendothelial migration	29	117	2.98601253913742e-09	1.65723695922127e-07	0	0	4.29455636107012	84.2992508673847	ITGB1;ITGAM;NCF1;ROCK1;NCF2;NCF4;PXN;ITGB2;PIK3CG;ICAM1;PIK3R5;GNAI2;RAP1B;RAP1A;PLCG2;RAC2;CTNNA3;VASP;VCAM1;CYBB;MSN;RHOH;CYBA;RHOA;VAV1;MAPK13;CLDN11;EZR;SIPA1	BioPlanet_2019	up
BioPlanet_2019.23	Chagas disease	27	104	3.5025831074385e-09	1.85941477138366e-07	0	0	4.56585486395212	88.8961217273392	C1QB;C1QA;TNF;PIK3CG;PIK3R5;GNAI2;GNA15;CASP8;CCL5;BDKRB2;CCL3;IL12B;CCL2;SMAD3;TGFB1;IRAK4;CFLAR;TGFBR1;TGFBR2;MAPK13;NFKBIA;IL1B;FAS;PLCB2;MYD88;TLR2;C1QC	BioPlanet_2019	up
BioPlanet_2019.24	Actin cytoskeleton regulation	43	226	4.17863583978714e-09	2.12588098349171e-07	0	0	3.07675200292893	59.3606409530295	ITGB1;ITGAM;ITGB5;ROCK1;ARPC1B;PXN;ITGB2;PDGFB;WAS;PIK3CG;PIK3R5;PPP1CB;GNA13;NRAS;RRAS;PDGFD;CFL2;RAC2;BDKRB2;ITGAX;ITGB8;NCKAP1L;ITGAV;CD14;WASF2;FGF21;PDGFRA;GSN;FN1;RRAS2;MSN;ARPC5;GNG12;SSH2;BAIAP2;RHOA;VAV1;PIKFYVE;MRAS;ABI2;ITGAD;ITGA5;EZR	BioPlanet_2019	up
BioPlanet_2019.25	Cytokine-cytokine receptor interaction	47	265	8.50151447474861e-09	4.15213966946722e-07	0	0	2.82571430445075	52.5103097171724	CX3CR1;CSF1R;CSF3R;TNFRSF13B;CSF1;PDGFB;TNFRSF11B;CXCL1;CXCR6;CXCL13;IL2RG;TNF;CSF2RA;CXCL16;CCL7;CCL5;CCL4;CCL3;IL21R;IL12B;CCL2;CCR6;CCR5;IL13RA1;IFNAR2;PDGFRA;TGFB1;CD70;IL10RB;IL10RA;HGF;IL18;OSMR;TGFBR1;TGFBR2;IL1A;CXCL10;IL1B;KIT;IL3RA;TNFSF9;FAS;TNFSF8;LTBR;IL6ST;MET;CRLF2	BioPlanet_2019	up
BioPlanet_2019.26	Signaling by interleukins	27	109	1.05381079365119e-08	4.9488576117235e-07	0	0	4.286288867117	78.7317018762871	IL1RN;INPPL1;IL2RG;CSF2RA;SOCS3;NRAS;INPP5D;BLNK;CASP1;LYN;SYK;HGF;STAT3;IL18;IRAK4;VAV1;NFKB2;HCK;IL1A;TEC;TNIP2;IL1B;IL3RA;CDK1;PTPN6;IL6ST;MYD88	BioPlanet_2019	up
BioPlanet_2019.27	Interferon alpha/beta signaling	20	64	1.20521273382862e-08	5.450239807425e-07	0	0	5.90016575290068	107.583767777448	IFNAR2;IFITM2;STAT2;MX1;ISG15;IFI35;IFIT1;USP18;IFIT3;PSMB8;ISG20;SOCS3;IFI27;IRF1;IRF7;IRF8;IRF5;PTPN6;XAF1;IRF9	BioPlanet_2019	up
BioPlanet_2019.28	FSH regulation of apoptosis	46	263	1.90581687178766e-08	8.31072285875977e-07	0	0	2.77650427913101	49.3545015342521	CX3CR1;IFITM2;MYRF;ITGB5;SDC2;SNAP23;CEBPG;TNFRSF11B;IFI35;CXCL13;ADCY7;CLU;HK2;PPP1CB;CASP4;FDXR;PLCE1;APOE;CD14;CD36;TIMP1;FLNC;IGFBP6;KLF10;IGFBP5;ANXA4;IDH1;ECEL1;MBD2;ISG15;CFLAR;TGFBR2;CH25H;SFRP4;PTPRE;ZEB1;RAB31;STAR;AXL;NPC2;CAPZA1;BCL3;S100A6;EZR;SGK1;PLA1A	BioPlanet_2019	up
BioPlanet_2019.29	Adaptive immune system	82	606	2.54577109964512e-08	1.07185741816093e-06	0	0	2.0685399923888	36.1710015542911	ITGB1;CD86;IGHM;CDKN1A;NCF1;ITGB5;NCF2;NCF4;UBE2D3;ITGB2;UBE2L6;IFI30;CTSS;ICAM1;CTSL;AP1S2;BLNK;CTSH;ITGAV;CD36;CTSE;B2M;TRIM21;CD34;CTSD;CTSC;CTSB;WSB1;SYK;TAP2;TAP1;CYBB;PPP2R5A;CYBA;VAV1;TAPBP;CD200R1;TYROBP;GAN;PSME1;BTK;ORAI1;PSME2;LCP2;KIF2C;KIF20A;HCST;CARD11;CD274;UBA7;WAS;ITPR2;FYB;RASGRP3;RAP1B;SOCS3;NRAS;RAP1A;INPP5D;PLCG2;LYN;CTSA;VASP;CD74;VCAM1;SMURF2;UBE2C;ERAP1;LNPEP;PSMB8;PSMB9;NFKBIA;SPSB2;SPSB1;PTPRC;ASB7;PTPN6;PDCD1;FCGR2B;PIK3AP1;SIPA1;LGMN	BioPlanet_2019	up
BioPlanet_2019.30	Fc gamma receptor-mediated phagocytosis	24	94	3.64648537758238e-08	1.48411954867603e-06	0	0	4.45666063893912	76.328856639696	LYN;VASP;MARCKSL1;GSN;NCF1;SYK;ARPC1B;SPHK1;WAS;PLA2G4A;ARPC5;PIK3CG;VAV1;PIK3R5;HCK;MARCKS;PTPRC;CFL2;INPP5D;RAC2;PLCG2;DOCK2;FCGR2B;WASF2	BioPlanet_2019	up
BioPlanet_2019.31	Malaria	17	51	5.09982386187616e-08	2.00867255979058e-06	0	0	6.48005598320504	108.809696366825	TGFB1;VCAM1;SDC4;HGF;SDC2;ITGB2;IL18;THBS2;TNF;ICAM1;THBS3;IL1B;CCL2;CD36;MET;MYD88;TLR2	BioPlanet_2019	up
BioPlanet_2019.32	Myc repressed pathway	20	73	1.40771305070646e-07	5.37130510910183e-06	0	0	4.89586916827648	77.2378646096837	ITGB1;CEBPA;CDKN1A;SPI1;SMAD3;CEBPD;HDAC1;GADD45A;SLC11A1;WNT5A;CFLAR;GTF2H2;CLU;LGALS1;CCND1;FTH1;MYC;CCL5;BCL2;IRF8	BioPlanet_2019	up
BioPlanet_2019.33	PI3K class IB pathway in neutrophils	15	43	1.57105980979493e-07	5.74068879958402e-06	0	0	6.93545971847859	108.653306217744	NCF1;C5AR1;PIK3CG;RHOA;VAV1;PIK3R5;FGR;HCK;NRAS;CYTH4;INPP5D;RAC2;BTK;DOCK2;MYO1F	BioPlanet_2019	up
BioPlanet_2019.34	Phagosome	31	154	1.59855380168597e-07	5.74068879958402e-06	0	0	3.28283489902037	51.3730712027226	ITGB1;ITGAM;NCF1;ITGB5;NCF2;NCF4;ITGB2;TCIRG1;THBS2;CTSS;THBS3;TUBB6;LAMP1;CLEC7A;CTSL;LAMP2;ITGAV;CD14;CD36;MSR1;TAP2;CYBB;TAP1;CYBA;PIKFYVE;ITGA5;RAB7B;FCGR2B;ATP6V0D2;TLR2;VAMP3	BioPlanet_2019	up
BioPlanet_2019.35	Toll receptor cascades	31	159	3.37283852599983e-07	1.14537140501324e-05	0	0	3.1537433745583	46.9981590949476	UNC93B1;UBE2D3;LY96;UBE2L6;CTSS;CTSL;PLCG2;CD14;CTSB;ZBP1;TICAM2;RIPK3;UBE2C;CD180;LY86;EIF2AK2;IRAK4;S100B;NFKB2;NFKBIA;TLR1;MAPKAPK3;BTK;CDK1;IRF7;SAA1;TLR7;MYD88;TLR3;LGMN;TLR2	BioPlanet_2019	up
BioPlanet_2019.36	Complement and coagulation cascades	19	70	3.37701642755746e-07	1.14537140501324e-05	0	0	4.83060582326834	71.9813551424192	C1QB;C1QA;CFH;PROS1;SERPINF2;C5AR1;PLAUR;PLAT;TFPI;F3;C4B;C4A;F9;BDKRB2;C3AR1;SERPING1;MASP1;A2M;C1QC	BioPlanet_2019	up
BioPlanet_2019.37	Interferon signaling	32	168	3.80779195621199e-07	1.25657134554996e-05	0	0	3.06481404442965	45.3011578897139	IFITM2;UBA7;UBE2L6;IFI35;IFI30;IFIT1;USP18;IFIT3;ICAM1;SOCS3;TRIM25;B2M;GBP3;IFNAR2;GBP5;VCAM1;DDX58;STAT2;MX1;EIF2AK2;ISG15;PSMB8;ISG20;IFI27;IRF1;IRF7;IRF8;IRF5;PTPN6;XAF1;CD44;IRF9	BioPlanet_2019	up
BioPlanet_2019.38	Antigen-activated B-cell receptor generation of second messengers	37	211	4.27415598678761e-07	1.37335380522834e-05	0	0	2.77387565975706	40.6802984476465	IGHM;ITPR2;PIK3CG;PIK3R5;RASGRP3;NRAS;PPP3R2;MYC;INPP5D;PRDX1;SH3BP2;PLCG2;RAC2;BLNK;LYN;PTPN18;CD72;SYK;NFATC1;POU2F2;VAV1;NFKB2;MAPK13;LAT2;NFKBIA;DOK1;PTPRC;TEC;BTK;ORAI1;HCLS1;FAS;PTPN6;FCGR2B;PIK3AP1;CD22;CARD11	BioPlanet_2019	up
BioPlanet_2019.39	Senescence and autophagy	23	99	4.43256884885337e-07	1.38773501652563e-05	0	0	3.92974442430743	57.4886884458044	RB1;SH3GLB1;CDKN1A;CEBPB;TGFB1;GSN;IGFBP5;FN1;PLAT;CXCL1;IL1A;LAMP1;IL1B;IRF1;CREG1;LAMP2;BCL2;IRF7;CCL3;IRF5;IL6ST;SLC39A4;CD44	BioPlanet_2019	up
BioPlanet_2019.40	Leishmaniasis	19	72	5.4497234194948e-07	1.64077202086519e-05	0	0	4.64781637159366	67.0332747362074	ITGB1;MARCKSL1;ITGAM;TGFB1;NCF1;NCF2;ITGB2;NCF4;CYBA;IRAK4;TNF;MAPK13;NFKBIA;IL1A;IL1B;IL12B;PTPN6;MYD88;TLR2	BioPlanet_2019	up
BioPlanet_2019.41	Alpha-M beta-2 integrin signaling	14	41	5.5095538784171e-07	1.64077202086519e-05	0	0	6.70851438030209	96.6805063243762	LYN;ITGAM;SELPLG;ROCK1;ITGB2;PLAUR;PLAT;TNF;RHOA;ICAM1;RAP1B;FGR;HCK;RAP1A	BioPlanet_2019	up
BioPlanet_2019.42	Focal adhesion	39	233	7.22701517123058e-07	2.1009965533506e-05	0	0	2.62326072142967	37.0936136731797	ITGB1;ITGAM;ITGB5;ROCK1;PXN;ITGB2;PDGFB;THBS2;PIK3CG;PIK3R5;THBS3;PPP1CB;RAP1B;RAP1A;CCND1;PDGFD;RAC2;SPP1;ITGAX;FLNA;ITGB8;ITGAV;FLNC;VASP;PDGFRA;CAV2;HGF;FN1;RHOA;VAV1;PGF;FGR;HCK;PARVG;ITGAD;BCL2;ITGA5;MET;BIRC2	BioPlanet_2019	up
